"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/11/19（土）09:41","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/19（土）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/19（土）08:48","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2022/11/19（土）08:39","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/18（金）20:07","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/18（金）18:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/18（金）18:24","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/18（金）18:23","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/11/18（金）18:14","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/11/18（金）18:09","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/18（金）09:48","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/18（金）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/18（金）08:30","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/18（金）08:15","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/17（木）21:32","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/17（木）19:06","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/17（木）19:06","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/11/17（木）18:59","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/17（木）18:56","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/17（木）18:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/17（木）18:21","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/17（木）17:55","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/17（木）11:01","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/17（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/17（木）08:58","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/17（木）07:59","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/17（木）07:07","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/16（水）21:47","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/16（水）21:16","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/16（水）18:04","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/16（水）17:54","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/16（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/16（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/16（水）08:23","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/16（水）07:02","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/15（火）21:40","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/15（火）21:09","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/15（火）19:13","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/15（火）18:54","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/15（火）18:52","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/11/15（火）18:35","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/15（火）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/15（火）08:54","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/15（火）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/15（火）07:06","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/14（月）19:50","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/14（月）19:19","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/14（月）19:16","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
